Title,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed,Release.Console,Publisher,Publisher Location,Publisher Established,Notable games published,Publisher Notes,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Rating,Release.Year
Dynasty Warriors,8.883333333333333,18.05,2.083333333333333,4.0,3.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.883333333333333,18.05,2.083333333333333,4.0,3.1166666666666667,Sony PSP,,,,,,1,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,E,2004
Feel the Magic XY/XX,2.9,3.8,3.0,9.0,2.3166666666666664,0.0,0.0,0.0,0.0,0.0,3.1,3.15,3.1,2.0,3.05,2.85,3.783333333333333,2.9833333333333334,7.0,2.3,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,T,2004
Ridge Racer DS,2.2333333333333334,2.2333333333333334,2.2333333333333334,1.0,2.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2333333333333334,2.2333333333333334,2.2333333333333334,1.0,2.2333333333333334,Nintendo DS,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Racing / Driving,Namco,63,0.15,9.95,E,2004
Darkstalkers Chronicle: The Chaos Tower,1.6333333333333333,2.4,2.0,7.0,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6333333333333333,2.4,2.0,7.0,1.0666666666666669,Sony PSP,Capcom,"Osaka, Japan",1979.0,"*Mega Man* series
*Street Fighter* series
*Resident Evil* series
*Devil May Cry* series",video game developer,1,Action,Capcom,74,0.14,14.95,E,2004
Ape Escape Academy,1.8833333333333333,1.8833333333333333,1.8833333333333333,1.0,1.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8833333333333333,1.8833333333333333,1.8833333333333333,1.0,1.8833333333333333,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,4,"Action,Sports",Sony,51,0.13,14.95,E,2004
Polarium,6.733333333333333,9.183333333333334,6.0,5.0,5.266666666666667,12.0,12.0,12.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,5.783333333333333,5.75,4.0,4.866666666666667,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Strategy,Nintendo,73,0.12,8.95,E,2004
Asphalt: Urban GT,12.4,13.7,12.4,2.0,11.1,9.816666666666666,9.816666666666666,9.816666666666666,1.0,9.816666666666666,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,1.0,15.0,Nintendo DS,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,E,2004
Zoo Keeper,7.15,8.9,5.0,5.0,5.033333333333333,11.75,11.75,11.75,1.0,11.75,0.0,0.0,0.0,0.0,0.0,6.0,7.75,5.0,4.0,4.75,Nintendo DS,,,,,,1,Action,,74,0.1,14.95,T,2004
Mr. DRILLER: Drill Spirits,9.883333333333333,10.983333333333333,9.883333333333333,2.0,8.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.883333333333333,10.983333333333333,9.883333333333333,2.0,8.766666666666667,Nintendo DS,Namco,"Tokyo, Japan",1955.0,"*Tekken*
*Pac-Man*
*Ace Combat*
*Time Crisis*
*Ridge Racer*","no longer publishes video games; video game division merged with Bandai's 
video game operations as Namco Bandai Games (then Bandai Namco Entertainment)",1,Action,Namco,72,0.09,14.95,T,2004
Sprung,17.75,17.75,17.75,1.0,17.75,17.75,17.75,17.75,1.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nintendo DS,Ubisoft,"Montreuil-sous-Bois, France",1986.0,"*Rayman* series
*Assassin's Creed* series
*Far Cry* series
*Ghost Recon* series
*Splinter Cell* series
*Just Dance* series",video game developer,1,Adventure,Ubisoft,48,0.06,8.95,E,2004
Armored Core: Formula Front - Extreme Battle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,,,,,,1,"Action,Strategy",,66,0.05,16.95,E,2004
Puyo Pop Fever,2.5,3.1166666666666667,2.0,3.0,1.8666666666666667,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,1.75,1.8666666666666667,1.75,2.0,1.6166666666666667,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,"Action,Strategy",Sega,76,0.04,19.95,E,2004
Mario Kart DS,10.416666666666666,22.366666666666667,9.083333333333334,91.0,5.616666666666667,16.383333333333333,25.33333333333333,15.0,32.0,10.333333333333334,10.716666666666669,15.166666666666666,10.0,24.0,7.8,4.783333333333333,7.366666666666666,4.5,35.0,3.066666666666667,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Racing / Driving,Nintendo,91,9.99,29.95,E,2005
Nintendogs,39.38333333333333,66.83333333333333,27.98333333333333,9.0,22.83333333333333,100.0,100.0,100.0,1.0,100.0,43.35,49.016666666666666,43.35,2.0,37.66666666666666,27.966666666666665,46.81666666666667,22.15,6.0,18.53333333333333,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Simulation,Nintendo,83,9.72,26.95,E,2005
Brain Age: Train Your Brain in Minutes a Day!,0.95,1.4833333333333334,1.0,10.0,0.6333333333333333,1.0,1.0,1.0,2.0,1.0,0.9333333333333332,0.9666666666666668,0.9333333333333332,2.0,0.9,0.9333333333333332,1.4833333333333334,1.0,6.0,0.6333333333333333,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,77,5.07,17.95,M,2005
Brain Agey: More Training in Minutes a Day!,13.25,27.05,15.0,7.0,7.466666666666667,1.0,1.0,1.0,1.0,1.0,23.33333333333333,29.58333333333333,15.0,3.0,17.083333333333332,7.266666666666667,12.066666666666666,1.0,3.0,2.4833333333333334,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,77,3.65,17.95,E,2005
Grand Theft Auto: Liberty City Stories,20.266666666666666,44.8,14.966666666666669,60.0,12.333333333333334,46.66666666666666,59.46666666666667,47.23333333333333,7.0,33.2,26.55,39.13333333333333,20.0,11.0,18.633333333333333,14.216666666666669,21.9,13.85,42.0,10.533333333333331,Sony PSP,,,,,,1,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,17.95,E,2005
Animal Crossing: Wild World,168.96666666666667,437.3666666666667,80.53333333333333,24.0,72.36666666666666,408.5833333333333,555.8,314.6666666666667,4.0,308.3,180.53333333333333,265.1333333333333,180.0,9.0,105.13333333333334,72.38333333333334,135.58333333333334,70.0,11.0,45.583333333333336,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Simulation,Nintendo,86,2.6,24.95,T,2005
Big Brain Academy,9.166666666666666,14.066666666666666,7.133333333333334,9.0,4.566666666666666,16.383333333333333,17.833333333333332,15.0,3.0,14.916666666666666,8.066666666666666,8.533333333333333,8.066666666666666,2.0,7.6,4.3,5.35,5.116666666666666,4.0,2.85,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,74,1.77,16.95,E,2005
Call of Duty 2,9.233333333333333,14.55,9.0,210.0,6.55,11.633333333333333,15.7,11.183333333333334,39.0,8.2,9.6,11.316666666666666,10.0,25.0,7.4,8.516666666666667,11.366666666666667,8.983333333333333,146.0,6.366666666666666,X360,,,,,,4,Action,"Activision,Konami",89,1.69,17.95,E,2005
Midnight Club 3: DUB Edition,39.0,46.75,48.0,9.0,29.25,48.86666666666667,49.4,48.75,4.0,48.4,49.0,49.5,49.0,2.0,48.5,19.166666666666668,21.166666666666668,19.5,3.0,17.166666666666668,Sony PSP,Rockstar,"New York, New York, United States",1998.0,"*Max Payne*
*Grand Theft Auto* series
*Red Dead* series
*Manhunt*
*Midnight Club*
*Bully*",Rockstar Games; video game developer; currently a publishing label of Take-Two Interactive,1,Racing / Driving,Rockstar,74,1.69,14.95,T,2005
Need for Speed: Most Wanted 5-1-0,11.383333333333333,12.433333333333334,10.333333333333334,3.0,10.35,0.0,0.0,0.0,0.0,0.0,9.833333333333334,9.833333333333334,9.833333333333334,1.0,9.833333333333334,12.166666666666666,13.083333333333334,12.166666666666666,2.0,11.25,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Racing / Driving,EA,72,1.67,14.95,M,2005
Pokmon Mystery Dungeon: Blue Rescue Team,37.46666666666667,101.01666666666668,25.616666666666667,60.0,20.266666666666666,111.96666666666668,135.73333333333332,90.0,6.0,87.98333333333333,39.61666666666667,70.25,38.5,21.0,29.466666666666665,22.566666666666663,43.91666666666666,23.05,33.0,15.9,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Role-Playing (RPG),Nintendo,62,1.22,14.95,T,2005
Sonic Rush,7.916666666666667,13.533333333333331,6.216666666666667,25.0,5.033333333333333,13.433333333333334,17.35,16.0,5.0,10.466666666666669,9.433333333333334,10.35,10.0,7.0,8.183333333333334,4.966666666666667,5.983333333333333,5.0,13.0,3.983333333333333,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,Action,Sega,82,1.2,14.95,E,2005
Star Wars: Battlefront II,15.016666666666667,116.0,9.0,99.0,7.416666666666667,48.9,131.06666666666666,35.36666666666667,14.0,28.566666666666663,13.416666666666666,16.683333333333334,13.35,25.0,9.833333333333334,7.783333333333333,11.233333333333333,8.0,60.0,5.35,Sony PSP,,,,,,1,Action,,69,1.09,16.95,E,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,8.583333333333334,8.583333333333334,8.583333333333334,1.0,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.583333333333334,8.583333333333334,8.583333333333334,1.0,8.583333333333334,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,1,Action,Sony,82,1.07,14.95,E,2005
Need for Speed: Most Wanted,14.6,46.65,12.0,182.0,8.366666666666667,34.6,56.15,30.0,21.0,25.216666666666665,15.916666666666666,33.25,14.0,51.0,12.466666666666669,10.183333333333334,17.033333333333335,10.0,110.0,6.75,X360,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,2,Racing / Driving,EA,83,0.95,17.95,E,2005
Zoo Tycoon DS,,,,,,,,,,,,,,,,,,,,,Nintendo DS,THQ,"Agoura Hills, California, United States",1989.0,"*Red Faction* series
*S.T.A.L.K.E.R.: Shadow of Chernobyl*
*Saints Row* series
*Tak and the Power of Juju*
*Destroy All Humans! series*","video game developer; Nordic Games (now THQ Nordic) revived the THQ brand 
in 2016, and all THQ franchises folded to THQ Nordic",1,"Simulation,Strategy",THQ,44,0.92,12.95,T,2005
The Sims 2,55.93333333333333,122.7,34.916666666666664,20.0,29.7,200.0,200.0,200.0,1.0,200.0,61.55,90.38333333333334,60.0,7.0,42.0,40.66666666666666,77.9,30.98333333333333,12.0,24.9,Nintendo DS,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,"Role-Playing (RPG),Simulation",EA,70,0.83,17.95,M,2005
Mario & Luigi: Partners in Time,19.666666666666668,30.316666666666663,18.65,96.0,14.383333333333333,33.916666666666664,39.21666666666667,40.0,7.0,27.466666666666665,19.25,24.066666666666663,19.03333333333333,32.0,16.65,18.15,21.816666666666663,18.016666666666666,57.0,13.85,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,"Action,Role-Playing (RPG)",Nintendo,86,0.75,29.95,E,2005
Madden NFL 06,3.75,5.366666666666666,3.75,2.0,2.1166666666666667,3.75,5.366666666666666,3.75,2.0,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Sports,EA,75,0.75,7.95,E,2005
Need for Speed Underground: Rivals,22.366666666666667,28.03333333333333,20.466666666666665,3.0,16.7,27.566666666666663,31.116666666666667,27.566666666666663,2.0,24.016666666666666,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,1.0,12.0,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,4,Racing / Driving,EA,74,0.73,17.95,E,2005
Twisted Metal: Head-On,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,1,"Action,Racing / Driving",Sony,79,0.73,14.95,E,2005
Perfect Dark Zero,9.3,20.683333333333337,8.0,33.0,6.316666666666666,28.85,30.78333333333333,28.85,2.0,26.916666666666668,10.166666666666666,11.283333333333331,10.0,3.0,9.033333333333331,7.816666666666666,10.0,8.0,28.0,5.95,X360,Microsoft,"Redmond, Washington, United States",1975.0,"*Halo* series
*Age of Empires* series
*Gears of War* series
*Forza* series
*Fable* series
*Black & White*","publishes games under the Xbox Game Studios banner since 2019; owns 
publisher Bethesda Softworks and Activision Blizzard",4,Action,Microsoft,79,0.7,17.95,E,2005
Super Monkey Ball: Touch & Roll,1.45,2.75,0.5666666666666667,9.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,3.55,4.016666666666667,3.55,2.0,3.083333333333333,0.85,2.1666666666666665,0.4666666666666667,7.0,0.4,Nintendo DS,Sega,"Tokyo, Japan",1960.0,"*Sonic the Hedgehog* series
*Phantasy Star* series
*Virtua Fighter series*",video game developer; merged with Sammy Studios as Sega Sammy Holdings,1,Action,Sega,63,0.7,15.95,T,2005
Super Princess Peach,11.0,19.58333333333333,9.283333333333331,22.0,7.816666666666666,17.783333333333335,23.4,17.783333333333335,6.0,13.466666666666669,9.1,10.833333333333334,9.25,9.0,7.583333333333333,7.616666666666667,9.083333333333334,7.0,7.0,6.4,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Action,Nintendo,75,0.7,29.95,T,2005
Burnout Legends,12.833333333333334,18.2,12.0,14.0,9.0,15.366666666666667,18.916666666666668,16.25,4.0,11.383333333333333,14.083333333333334,18.516666666666666,12.0,7.0,10.033333333333331,6.516666666666667,6.866666666666667,7.0,3.0,6.166666666666667,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,"Action,Racing / Driving",EA,86,0.68,14.95,T,2005
Madden NFL 06,3.75,5.366666666666666,3.75,2.0,2.1166666666666667,3.75,5.366666666666666,3.75,2.0,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X360,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,2,Sports,EA,74,0.62,4.95,E,2005
Clubhouse Games,20.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nintendo DS,Nintendo,"Kyoto, Japan",1889.0,"*Mario*
*The Legend of Zelda*
*Metroid*
*Pokémon*
*Pikmin*
*Kirby*
*Animal Crossing*",video game developer,1,Strategy,Nintendo,83,0.61,17.95,E,2005
ATV Offroad Fury: Blazin' Trails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,4,"Racing / Driving,Sports",Sony,63,0.56,12.95,T,2005
Untold Legends: Brotherhood of the Blade,21.0,21.5,21.0,2.0,20.5,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,1.0,22.0,20.0,20.0,20.0,1.0,20.0,Sony PSP,,,,,,1,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,12.95,M,2005
Tony Hawk's Underground 2: Remix,23.45,23.45,23.45,1.0,23.45,23.45,23.45,23.45,1.0,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sony PSP,Activision,"Santa Monica, California, United States",1979.0,"*Call of Duty*
*Guitar Hero*
*Spyro*
*Pitfall!*","video game developer; acquired Neversoft in 1999 and Infinity Ward in 2003; 
acquired several other developers as well; merged with Vivendi to form Activision 
Blizzard in 2008",1,Sports,Activision,83,0.49,14.95,T,2005
The Sims 2,55.93333333333333,122.7,34.916666666666664,20.0,29.7,200.0,200.0,200.0,1.0,200.0,61.55,90.38333333333334,60.0,7.0,42.0,40.66666666666666,77.9,30.98333333333333,12.0,24.9,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,"Simulation,Strategy",EA,65,0.46,14.95,T,2005
WipEout Pure,9.516666666666667,14.583333333333334,8.8,8.0,6.383333333333334,0.0,0.0,0.0,0.0,0.0,14.2,16.55,12.0,3.0,11.85,6.716666666666667,9.666666666666666,6.0,5.0,4.983333333333333,Sony PSP,Sony,"San Mateo, California, United States",1993.0,"*Ratchet & Clank* series
*Jak and Daxter* series
*God of War* series
*Killzone* series
*Uncharted* series
*Resistance* series",a.k.a. Sony Interactive Entertainment; publishing under the PlayStation Studios label since 2020,1,"Action,Racing / Driving",Sony,88,0.45,12.95,E,2005
NBA Live 06,4.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,Sony PSP,EA,"Redwood City, California, United States",1982.0,"*Battlefield* series
*Medal of Honor* series
*The Sims* series
*The Need for Speed* series",Electronic Arts; video game developer,1,Sports,EA,80,0.42,9.95,E,2005
